,prompt1,prompt2,prompt3,response1,response2,response3,response4,response5
158,engine,car,branch,tree,division,corporation,,
159,sound,inaudible,enthusiasm,depression,joy,calm,man,boredom
160,tulip,flower,shirt,body,clothing,top,clothes,blouse
161,fatigue,sleep,fright,cry,anxiety,scared,awake,calm
162,novice,inexperience,miser,wealth,wealthy,poor,greed,poverty
163,old,young,hot,cold,smart,ugly,,
164,siren,danger,smile,happy,happiness,joy,contentment,laughter
165,siren,danger,engagement,happy,happiness,joy,wedding,marriage
166,harmony,discordant,liar,honest,truth,honesty,innocent,truthful
167,enthusiasm,fervor,jog,run,stop,sweat,exercise,memory
168,arsenal,weapon,zoo,animal,animals,cage,place,park
169,smooth,rough,big,small,little,,,
170,practice,improvement,germs,sickness,disease,illness,sick,soap
171,harmony,discordant,empty,music,full,hollow,filled,
172,ship,fleet,soldiers,army,platoon,battalion,war,military
173,farmer,tractor,hunter,gun,rifle,weapon,bow,prey
174,arsenal,weapon,forest,water,tree,trees,landscape,flore
175,enthusiasm,fervor,giggle,cry,happiness,joy,anger,laughter
176,laureate,dishonor,weakness,scare,strength,strong,weak,hero
177,fatigue,sleep,happiness,joy,sadness,smile,laughter,enjoyment
178,love,hate,peace,war,violence,chaos,,
179,poem,anthology,bird,flock,animal,fly,nest,nests
180,love,hate,attract,shun,ugly,repel,repulse,disgust
181,poem,anthology,page,book,novel,paper,print,
182,sonnet,poem,swan,animal,group,bird,lake,dance
183,sing,dirge,paint,landscape,color,picture,brush,canvas
184,arsenal,weapon,garden,tool,trees,vegetable,plant,vegetables
185,novice,inexperience,nun,woman,religion,virtue,religious,church
186,poem,anthology,flower,landscape,plant,bush,garden,rose
187,hero,brave,bigot,ignorant,laugh,bad,dumb,stupid
188,sound,inaudible,mute,waves,sound,loud,vocal,speak
189,ship,fleet,page,book,words,chapters,booki,
190,beggar,poverty,child,adult,youth,young,innocence,kid
191,beggar,poverty,winner,succeed,wealth,celebration,rich,success
192,conductor,baton,gardener,plant,hands,flower,garden,hoe
193,sing,dirge,row,boat,column,fight,swim,paddle
194,bulwark,flimsy,darkness,light,night,bright,dim,brightness
195,buy,sell,criticize,approve,praise,enjoy,acclaim,help
196,beggar,poverty,scholar,school,wealth,achievement,intelligence,learning
197,practice,improvement,bath,clean,wash,shower,cleanliness,purification
198,signature,approval,cross,reject,denial,symbol,sign,religion
199,portrait,person,crown,king,jewelry,head,jewels,royalty
200,simmer,boil,fire,hot,burn,heat,inferno,blaze
201,ship,fleet,bird,flock,animal,nest,horde,
202,hunger,eat,fright,joy,scared,fight,calm,scream
203,engine,car,wheel,car,bike,tire,bicycle,wagon
204,siren,danger,badge,honor,safe,identity,authority,danger
205,arsenal,weapon,hive,bee,bees,home,dangerous,honey
206,siren,danger,crown,king,authority,head,royalty,kingship
207,joke,laughter,injury,cry,pain,crying,hurt,painful
208,poem,anthology,weapons,tools,army,gun,war,pain
209,tulip,flower,spear,tool,weapon,earth,sharp,sword
210,infancy,cradle,death,life,crib,coffin,casket,grave
211,signature,approval,badge,honor,achievement,power,authority,law
212,siren,danger,license,car,gun,certificate,drive,permission
213,war,tranquility,tyranny,rage,peace,calm,freedom,democracy
214,buy,purchase,careful,cautious,careless,wary,coward,money
215,conductor,baton,hunter,animal,gun,rifle,train,arrow
216,scepter,authority,license,car,allowance,power,identity,drive
217,seminary,theologian,forest,tree,trees,wood,woods,ranger
218,portrait,person,recording,song,voice,music,singer,sound
219,signature,approval,smile,happy,happiness,joy,enjoyment,laugh
220,farmer,tractor,soldier,army,gun,war,weapon,tank
221,seminary,theologian,garden,food,plant,flower,flowers,plants
222,lateness,hurry,heat,burn,cool,cold,cooler,cook
223,harmony,discordant,rainbow,flood,rain,storm,joy,peace
224,poem,anthology,books,story,words,novel,novels,subject
225,novice,inexperience,winner,win,lose,cold,success,champion
226,epilogue,novel,wheel,car,flat,cart,spoke,automobile
227,joke,laughter,loss,fall,tears,grief,cry,upset
228,simmer,boil,sea,ocean,river,lake,land,puddle
229,tree,forest,page,book,paper,sheet,,
230,buy,sell,joy,sorrow,depressed,sadness,anger,laughter
231,joke,laughter,explosion,surprise,fire,sadness,anger,death
232,epilogue,novel,toe,body,nail,foot,leg,toenail
233,scepter,authority,cross,death,freedom,religion,holiness,church
234,signature,approval,engagement,date,wedding,marriage,ring,interest
235,adolescence,textbooks,morning,sun,school,sunrise,day,night
236,enthusiasm,fervor,sea,flood,water,ocean,wave,waves
237,arsenal,weapon,library,book,books,knowledge,media,
238,enthusiasm,fervor,road,car,drive,street,highway,sidewalk
239,tulip,flower,ring,hand,jewelry,finger,diamond,gold
240,engine,car,finger,hand,body,nail,,
241,diary,person,crown,king,head,tiara,kingdom,royalty
242,stream,river,jog,track,run,running,path,sprint
243,attack,defend,attract,test,repel,repulse,disgust,react
244,plow,earth,sweep,dirt,floor,dust,broom,home
245,beggar,poverty,miser,wealth,person,rich,savings,cheap
246,bulwark,flimsy,liar,life,bad,dishonest,honest,truth
247,signature,approval,crown,king,achievement,power,award,authority
248,sound,inaudible,darkness,light,night,invisible,bright,brightness
249,attack,defend,criticize,approve,support,praise,protect,compliment
250,portrait,person,photograph,landscape,camera,person,human,picture
251,scepter,authority,crown,king,allegiance,tyranny,power,authority
252,portrait,person,photo,landscape,camera,person,human,picture
253,happy,sad,difficult,easy,hard,boring,,
254,tulip,flower,dollar,tree,paper,money,currency,bill
255,attack,defend,praise,honor,critical,warm,pray,criticize
256,epilogue,novel,yolk,book,eggs,top,white,egg
257,plow,earth,cook,food,kitchen,meal,ingredients,eat
258,beggar,poverty,coward,scared,fear,poor,liar,weak
259,buy,purchase,pretty,sweet,beautiful,attractive,ugly,lovely
260,scepter,authority,flag,country,nation,patriotism,pride,wave
261,harmony,discordant,darkness,light,scared,night,lit,darkness
262,love,hate,joy,sorrow,grief,misery,despair,sadness
263,glass,fragile,bigot,hard,person,ignorant,poor,stupid
264,sing,dirge,sweep,fall,clean,kitchen,dirt,floor
265,plow,earth,brush,hair,tree,trim,canvas,teeth
266,sound,inaudible,liar,lies,thief,honest,truth,honesty
267,hunger,eat,happiness,joy,sadness,smile,fun,crying
268,practice,improvement,injury,pain,recovery,hurt,stop,healing
269,novice,inexperience,scholar,book,master,education,teacher,experience
270,rage,emotion,shirt,body,clothing,top,clothes,blouse
271,joke,laughter,bath,wet,water,clean,wash,bathe
272,engine,car,sole,foot,shoe,many,,
273,rage,emotion,swan,animal,bird,peace,lake,duck
274,beggar,poor,professor,rich,teacher,student,smart,intelligent
275,car,auto,couch,chair,sofa,sit,seat,furniture
276,joke,laughter,disease,sickness,illness,sick,death,pain
277,happy,sad,short,tall,long,angry,minimi,
278,love,hate,criticize,praise,mad,compliment,commend,adore
279,hero,brave,villain,evil,bad,coward,cruel,enemy
280,retirement,pension,morning,sun,light,sunrise,day,coffee
281,tree,forest,weapons,tools,army,gun,war,arsenal
282,tree,forest,sheep,flock,farm,wool,herd,lamb
283,joke,laughter,accident,tears,cry,wash,pain,crying
284,nose,face,wheel,car,tire,wagon,cart,dashboard
285,war,tranquility,drought,flood,rain,water,abundance,death
286,rapid,quick,couch,den,chair,sofa,sit,cushion
287,simmer,boil,affection,care,love,passion,lust,tenderness
288,lateness,hurry,coldness,heat,slow,active,dress,warm
289,harmony,discordant,coward,fear,strong,brave,weak,hero
290,signature,approval,smoke,flame,burn,fire,alarm,death
291,harmony,discordant,fire,water,flame,ice,sand,puddle
292,engine,car,toe,foot,toenail,shoe,muscle,feet
293,nose,face,page,book,words,paper,notebook,pook
294,hunger,eat,coldness,fire,cold,dress,winter,freeze
295,stream,river,affection,sex,emotion,hug,love,adoration
296,enthusiasm,fervor,affection,sex,excitement,rage,love,passion
297,pardon,sin,brush,hair,clean,broom,comb,canvas
298,beggar,poverty,saint,wealth,rich,holy,good,religion
299,fatigue,sleep,coldness,heat,sick,cool,cold,clothing
300,diary,person,trophy,team,person,life,competition,sport
301,attack,defend,joy,hate,sorrow,happy,sadness,smile
302,siren,danger,cross,river,safe,holy,religion,torture
303,happy,sad,tall,big,short,small,,
304,practice,improvement,loss,win,lose,devastation,worsen,learning
305,hunger,eat,sadness,depression,cry,fun,laugh,sleep
306,happy,sad,accept,reject,content,decline,deny,disallow
307,war,tranquility,prisoner,king,peace,freedom,free,freeman
308,sing,dirge,cook,burn,clean,food,kitchen,meal
309,epilogue,novel,branch,river,tree,seed,leaf,stem
310,war,tranquility,slavery,peace,freedom,free,hell,independence
311,practice,improvement,disease,sickness,illness,death,symptoms,cure
312,rage,emotion,dollar,sign,power,money,currency,cash
313,diary,person,photograph,camera,person,picture,scene,land
314,pardon,sin,sweep,dirty,clean,dirt,floor,dust
315,scepter,authority,smile,face,happy,happiness,joy,laugh
316,siren,danger,flag,country,nation,end,patriotism,surrender
317,happy,sad,dark,light,bright,scary,fair,
318,beggar,poor,water,wet,abundance,liquid,river,clean
319,glass,fragile,steel,hard,solid,strong,tough,iron
320,rage,emotion,spear,tool,gun,weapon,fight,stick
321,diary,person,photo,book,camera,person,food,picture
322,infancy,cradle,christmas,tree,bed,day,celebrate,winter
323,practice,improvement,accident,death,treatment,hurt,tragedy,injury
324,smooth,rough,dark,light,bright,black,,
325,ship,fleet,player,team,game,card,ball,sail
326,famine,plenitude,slavery,freedom,free,success,bad,little
327,stream,river,sea,water,ocean,shore,lake,
328,buy,purchase,couch,win,protect,chair,sofa,sit
329,portrait,person,trophy,win,team,success,sport,champion
330,buy,purchase,raise,nurture,teach,lift,increase,elevate
331,plow,earth,paint,picture,brush,house,canvas,wall
332,smooth,rough,bad,good,nice,sad,rotten,
333,sonnet,poem,red,blue,green,color,blood,rose
334,poem,anthology,book,story,author,novel,stories,knowledge
335,buy,sell,attract,reject,attention,shun,love,repel
336,plow,earth,operate,body,person,machine,machinery,manage
337,bulwark,flimsy,fire,wet,water,hot,ice,cold
338,buy,purchase,kid,adult,child,birth,careless,play
339,buy,sell,progress,fall,regress,decline,time,decay
340,hero,brave,water,wet,liquid,smooth,blue,cool
341,nose,face,fin,body,fish,back,dolphin,torso
342,ship,fleet,sheep,flock,herd,heard,ewe,lamb
343,rage,emotion,ring,happy,marriage,master,jewelry,finger
344,buy,purchase,large,huge,giant,big,massive,fat
345,hero,brave,steel,hard,cold,metal,strong,tough
346,sound,inaudible,fire,flood,wet,rain,water,flame
347,stream,river,happiness,water,joy,contentment,smile,elation
348,portrait,person,biography,person,story,life,author,celebrity
349,glass,fragile,fire,hot,burn,heat,burning,destructive
350,old,young,black,person,cold,white,,
351,sing,dirge,play,song,fun,fight,music,sport
352,pardon,sin,paint,color,picture,brush,house,canvas
353,infancy,cradle,morning,sun,bed,sunrise,earth,early
354,glass,fragile,snow,wet,rain,cold,white,soft
355,glass,fragile,water,wet,rain,liquid,river,free
356,car,auto,kid,person,child,children,human,
357,car,auto,house,home,dwelling,garage,building,family
358,epilogue,novel,page,book,end,story,writing,paragraph
359,sing,dirge,brush,burn,hair,fire,quite,bush
360,beggar,poor,steel,hard,rich,metal,strong,mechanic
361,simmer,boil,road,city,rage,drive,street,highway
362,lateness,hurry,danger,burn,safe,hide,run,fear
363,enthusiasm,fervor,fire,water,flame,hot,heat,burning
364,stream,river,pain,cry,suffering,train,hurt,agony
365,buy,purchase,house,car,home,dwelling,apartment,shelter
366,ship,fleet,flower,bed,plant,colorful,garden,field
367,rapid,quick,pretty,slow,beautiful,attractive,ugly,beauty
368,smooth,rough,accept,reject,decline,agree,dismiss,deny
369,old,young,difficult,easy,easygoing,new,hard,
370,smooth,rough,difficult,easy,hard,tough,simple,
371,joke,laughter,fire,flame,hot,burn,heat,burning
372,portrait,person,profile,face,group,company,person,information
373,rapid,quick,careful,alert,safe,slow,steady,cautious
374,sound,inaudible,empty,full,nothing,fulfill,fill,scarce
375,pardon,sin,cook,hungry,burn,animal,clean,food
376,glass,fragile,paper,light,tears,tear,writing,strong
377,war,tranquility,liar,lies,saint,honest,truth,truth
378,beggar,poor,villain,evil,rich,bad,greed,mean
379,plow,earth,row,water,ocean,river,boat,plant
380,diary,person,documentary,group,person,event,story,life
381,buy,sell,peace,war,loud,harmony,unrest,give
382,sing,dirge,operate,business,person,stop,work,machine
383,car,auto,pretty,color,girl,woman,nice,feeling
384,rapid,quick,raise,tall,lift,heighten,increase,elevate
385,stream,river,fire,water,flame,heat,inferno,ash
386,epilogue,novel,wall,hard,city,top,picture,floor
387,epilogue,novel,room,building,house,door,place,space
388,practice,improvement,fire,water,flame,burn,burning,burnt
389,arsenal,weapon,school,book,run,learn,children,education
390,buy,purchase,teach,school,learn,student,study,educate
391,epilogue,novel,sole,foot,self,leg,single,shoe
392,fatigue,sleep,danger,fire,war,warning,peace,hide
393,plow,earth,play,jump,fun,life,child,instrument
394,hero,brave,professor,life,learn,people,teacher,student
395,portrait,person,documentary,event,story,life,information,subject
396,car,auto,raise,work,bike,lift,money,increase
397,pardon,sin,operate,disease,act,work,injury,machine
398,ship,fleet,books,school,collection,series,library,fold
399,car,auto,spin,dry,fly,move,top,bike
400,buy,purchase,big,tall,large,huge,giant,small
401,old,young,accept,reject,decline,deny,refuse,exclude
402,hero,brave,snow,wet,ice,cold,white,winter
403,rapid,quick,house,home,dwelling,apartment,steady,still
404,car,auto,large,size,huge,big,massive,small
405,old,young,dark,light,smooth,bright,pale,
406,diary,person,profile,face,company,body,person,account
407,engine,car,fin,boat,fish,dolphin,foot,end
408,sing,dirge,dig,earth,dirt,grave,fill,hole
409,diary,person,summary,book,story,author,writer,people
410,rapid,quick,kid,adult,teen,tall,slow,youth
411,tree,forest,bird,flock,animal,nest,nature,sky
412,portrait,person,signature,hand,sign,name,writing,paint
413,car,auto,careful,emotion,warning,safe,slow,danger
414,buy,sell,birth,give,death,die,nurture,still
415,beggar,poor,fire,water,flame,hot,heat,growth
416,diary,person,biography,book,person,event,story,author
417,portrait,person,summary,book,story,words,paper,article
418,car,auto,teach,school,give,learn,job,education
419,diary,person,signature,hand,sign,person,name,writing
420,rage,emotion,red,blue,green,color,blood,soft
421,stream,river,road,car,street,highway,grass,free
422,beggar,poor,snow,fall,ice,cold,white,winter
423,fatigue,sleep,heat,sun,hot,cool,cold,drink
424,tree,forest,flower,bed,earth,plants,garden,rose
425,plow,earth,dig,earth,ground,dirt,land,hole
426,sing,dirge,read,book,life,words,novel,speak
427,beggar,poor,paper,book,smooth,plain,flat,writing
428,engine,car,wall,floor,building,house,room,brick
429,rapid,quick,large,huge,big,massive,small,test
430,tree,forest,books,words,paper,collection,library,read
431,hero,brave,paper,flat,tree,trees,writing,white
432,nose,face,sole,foot,finger,shoe,feet,spirit
433,hunger,eat,danger,fight,food,hide,run,fear
434,nose,face,branch,tree,leaf,person,head,leaves
435,attack,defend,peace,gun,war,fight,safe,loud
436,plow,earth,read,book,writing,learn,paper,eyes
437,smooth,rough,short,tall,long,person,small,
438,hunger,eat,heat,hot,burn,cool,fire,drink
439,nose,face,wall,picture,floor,building,house,room
440,hero,brave,fire,water,hot,burn,heat,destroy
441,pardon,sin,dig,body,ground,grave,repair,fill
442,old,young,big,large,small,little,man,
443,pardon,sin,play,lose,clean,stop,game,work
444,rapid,quick,teach,train,learn,educate,instruct,show
445,engine,car,room,bed,human,floor,home,building
446,pardon,sin,read,book,ask,learn,write,literature
447,attack,defend,go,back,stop,come,stay,arrive
448,nose,face,room,bed,big,home,building,house
449,attack,defend,birth,day,death,die,beginning,live
450,love,hate,go,novel,stop,come,stay,arrive
451,practice,improvement,exercise,lose,health,run,strength,strong
452,buy,sell,go,stop,come,stay,far,return
453,love,hate,fail,succeed,win,lose,pass,in
